GAME_ID,GAME_DATE,GAME_NUM,GAME_SEQ,MATCHUP,WL,WIN,WITH_WEMBY,DEF_RATING,DRTG_ROLL,OFF_RATING,NET_RATING,WIN_ROLL,OPP_ABBR,OPP_WIN_PCT,OPP_NET_RATING
0022500234,2025-11-16,13,1,SAS vs. SAC,W,True,False,110.09,,123.1,13.01,,SAC,0.268,-9.7
0022500252,2025-11-18,14,2,SAS vs. MEM,W,True,False,103.36,,113.59,10.23,,MEM,0.305,-6.0
0022500267,2025-11-20,15,3,SAS vs. ATL,W,True,False,120.92,111.45666666666666,129.56,8.64,1.0,ATL,0.561,2.2
0022500281,2025-11-23,16,4,SAS @ PHX,L,False,False,114.48,112.2125,105.2,-9.28,0.75,PHX,0.549,1.4
0022500067,2025-11-26,17,5,SAS @ POR,W,True,False,100.99,109.968,113.86,12.87,0.8,POR,0.512,-0.4
0022500076,2025-11-28,18,6,SAS @ DEN,W,True,False,130.67,114.08399999999999,133.55,2.88,0.8,DEN,0.659,5.2
0022500306,2025-11-30,19,7,SAS @ MIN,L,False,False,131.08,119.628,117.45,-13.63,0.6,MIN,0.598,3.1
0022500322,2025-12-02,20,8,SAS vs. MEM,W,True,False,118.24,119.09200000000001,125.2,6.96,0.6,MEM,0.305,-6.0
0022500326,2025-12-03,21,9,SAS @ ORL,W,True,False,104.13,117.022,105.99,1.86,0.8,ORL,0.549,0.6
0022500341,2025-12-05,22,10,SAS @ CLE,L,False,False,121.0,121.024,108.9,-12.1,0.6,CLE,0.634,4.1
0022500366,2025-12-08,23,11,SAS @ NOP,W,True,False,120.0,118.89000000000001,122.73,2.73,0.6,NOP,0.317,-4.4
0022501204,2025-12-10,24,12,SAS @ LAL,W,True,False,115.71,115.81599999999999,128.35,12.64,0.8,LAL,0.646,1.5
0022500476,2026-01-02,34,13,SAS @ IND,W,True,False,102.43,112.654,111.49,9.06,0.8,IND,0.232,-7.8
0022500490,2026-01-03,35,14,SAS vs. POR,L,False,False,118.41,115.50999999999999,113.26,-5.15,0.6,POR,0.512,-0.4
0022500958,2026-03-12,66,15,SAS vs. DEN,L,False,False,127.01,116.71200000000002,122.34,-4.67,0.6,DEN,0.659,5.2
0022501119,2026-04-02,77,16,SAS @ LAC,W,True,False,100.86,112.88400000000001,120.21,19.35,0.6,LAC,0.512,1.1
0022501161,2026-04-08,80,17,SAS vs. POR,W,True,False,100.64,109.87,111.6,10.96,0.6,POR,0.512,-0.4
0022501197,2026-04-12,82,18,SAS vs. DEN,L,False,False,125.59,114.502,115.78,-9.81,0.4,DEN,0.659,5.2
